,Rating as Factor
6595,7
26131,7
8093,7
23847,4
25714,7
7643,8
9788,8
21234,7
28612,12
325,0
1917,1
25347,2
27843,0
7791,7
12958,0
24234,15
22317,4
16890,7
6578,8
23679,15
27113,14
11481,8
19531,5
11692,0
8261,7
17090,4
13443,1
721,8
10774,2
14197,9
2094,5
24228,15
15245,7
23411,0
4664,2
27084,15
20577,8
3735,12
18,0
17412,1
13931,0
28573,16
9527,0
10455,0
6308,0
5607,13
4177,0
5639,7
15358,5
21950,7
548,7
10789,2
17431,1
28719,5
21531,5
7163,4
3702,4
28085,16
9717,13
21483,14
4718,0
25071,1
20327,14
8207,8
25856,7
6744,2
6220,6
3020,14
1259,4
5467,6
20447,4
23873,16
3509,8
19764,7
6879,6
5605,13
9418,7
18368,5
2655,0
7528,8
4036,13
26897,14
28021,5
25898,14
60,1
21428,15
6690,4
2442,4
23627,5
14088,8
15096,7
15903,7
19767,7
21675,4
25990,4
28219,0
16254,1
12842,4
21176,4
5989,4
25832,7
19266,14
17326,8
12834,7
14724,6
23432,0
26441,0
11728,1
11591,0
11873,4
6823,6
24745,4
544,7
455,1
25453,8
8692,5
14841,1
412,4
25573,4
9195,0
11892,4
25673,7
13453,1
8421,7
28357,8
27622,5
16929,8
111,3
5812,8
6959,5
9386,8
15709,5
3812,14
23676,4
12891,8
2880,8
26351,5
676,8
27293,13
4163,0
26238,0
27887,0
16988,4
9272,1
10882,14
10510,5
2277,5
3594,4
20464,4
23461,4
14880,1
21463,14
20539,5
13807,6
10420,0
21552,5
9532,0
1999,15
13693,1
19648,15
20092,7
26111,7
18766,7
2919,5
21879,4
3472,5
7585,4
17822,7
26461,0
20197,7
10397,0
14453,14
22033,14
16859,0
5736,5
2795,0
18297,7
7396,5
20993,4
19163,8
5222,0
26081,7
12857,4
8956,0
8683,5
24678,14
6767,2
27340,15
10073,0
707,8
20402,14
20184,7
1548,8
6150,8
25165,8
2674,0
9023,0
11806,0
28935,0
16661,8
7502,8
12892,8
1117,12
21857,4
15128,7
19128,1
10939,1
2684,0
19769,7
15919,8
9185,0
18176,4
20604,8
1587,8
24028,4
7992,4
24108,14
11661,1
8798,14
27687,4
28675,5
18814,0
28607,16
23937,13
5124,0
6294,0
13333,0
27951,4
15577,14
6028,4
17105,4
3719,5
11187,8
4926,2
5801,8
26997,6
3144,0
25482,2
11376,5
11516,4
4559,0
1352,0
3461,5
21352,8
23468,4
106,3
18599,8
5808,8
9707,12
3073,14
20677,13
24690,14
4473,0
7386,7
5101,0
18545,14
7990,4
17632,15
784,8
7954,8
23724,5
5059,0
19293,5
28107,13
5999,4
21077,5
4248,4
9516,7
28894,14
20611,8
22941,5
24036,4
28596,16
3718,5
18164,4
1301,7
15854,0
21975,7
9257,4
23101,0
24490,8
18564,4
9780,7
23156,0
17334,8
5244,4
20504,5
7478,7
19054,0
20876,4
27859,0
1454,9
315,0
28366,4
18317,8
4497,0
24948,4
24572,15
28313,7
17544,8
24150,14
7149,5
14887,1
7883,4
3103,1
18597,8
16459,4
6321,0
24315,5
29021,1
2240,16
163,3
1060,3
11722,0
28348,8
22331,4
373,5
28727,5
10522,5
18951,4
17180,8
5421,4
21042,8
7428,5
3981,8
13096,8
16540,7
18589,8
3185,13
14032,7
13739,1
22860,7
1708,13
24160,14
9813,8
11043,5
15963,0
16526,7
6443,3
3903,1
20392,4
2026,15
8279,7
26152,4
9027,0
8871,0
1846,7
24779,8
25064,1
17264,14
6762,2
9310,0
1033,3
4584,0
4914,2
4862,0
19846,4
12975,0
2891,8
27528,4
13416,7
17800,8
2613,4
25020,13
5655,7
14030,7
19250,0
24976,12
26324,8
10136,0
2857,4
6608,7
3535,5
26927,13
2142,4
24517,8
13210,4
20548,5
2702,5
13508,0
19185,0
23254,8
22421,13
20766,7
8550,14
3776,14
24332,14
27801,5
8510,4
26308,8
26473,0
18640,7
22925,5
25249,5
8435,7
9295,1
960,4
8645,8
20241,5
24620,0
17629,8
4855,0
3400,7
2228,14
1949,2
16644,8
22154,4
26053,4
21523,5
16509,7
16505,8
4253,4
765,8
10214,4
40,1
8017,4
20767,7
15717,5
24358,8
11690,0
19050,1
972,4
11818,0
6276,6
17418,1
13122,8
24701,14
7677,0
15890,7
7699,0
2710,5
26539,15
21143,5
27812,5
29322,13
4828,0
12183,0
20304,4
24550,12
21488,14
8615,7
23327,2
16466,4
27702,4
20866,4
11170,4
21957,7
25266,4
14955,14
22,0
19272,14
13557,4
24137,15
13000,7
8512,4
4325,8
3835,0
9101,8
20907,4
9690,5
26828,7
13159,8
15552,5
19614,2
28246,13
20812,7
26875,14
24190,15
6964,5
15635,8
18137,7
10132,0
19281,14
4704,0
4938,2
14944,14
110,3
15437,8
17862,7
24631,0
26120,7
10354,0
27765,5
452,1
4018,4
27665,4
14624,14
9650,4
4092,15
4815,0
